organ,cell_type
Spleen,Neutrophil
Spleen,Plasma B cell
Spleen,Centrocyte B cell
Spleen,T cell
Spleen,Erythrocyte
Spleen,Macrophage
Blood,Monocyte
Blood,Conventional dendritic cell
Blood,Erythrocyte
Blood,Neutrophil
Blood,Centrocyte B cell
Blood,Unclassified
Blood,Hemopoietic stem cell
Blood,Plasmacytoid dendritic cell
Blood,Plasma B cell
Blood,NK cell
Blood,T cell
Blood,Megakaryocyte
Blood,Macrophage
Blood,Common myeloid progenitor/CMP or common granulocyte/megakaryocyte/erythrocyte progenitor/CFU
Blood,Eosinophil
Bone marrow,Erythrocyte
Bone marrow,Neutrophil
Bone marrow,Monocyte
Bone marrow,Plasma B cell
Bone marrow,T cell
Bone marrow,Conventional dendritic cell
Bone marrow,Macrophage
Bone marrow,Hemopoietic stem cell
Thymus,T cell
Thymus,Unclassified
Thymus,Proliferating T cell
Thymus,Conventional dendritic cell
Thymus,Erythrocyte
Thymus,Activated T cell
Colon,Plasma cell
Colon,B cell
Colon,Enterocyte
Colon,Goblet cell
Colon,Mast cell
Colon,T cell
Colon,Enterocyte progenitor
Colon,Macrophage
Colon,B cell(Plasmocyte)
Colon,Smooth muscle cell
Colon,Endothelial cell
Colon,Fibroblast
Colon,Stromal cell
Colon,Unclassified
Intestine,Enterocyte progenitor
Intestine,Enterocyte
Intestine,Neuron
Intestine,Stromal cell
Intestine,Macrophage
Intestine,Proliferating cell
Intestine,Endothelial cell
Intestine,Smooth muscle cell
Intestine,Goblet cell
Intestine,Fibroblast
Intestine,Endocrine cell
Intestine,Vascular endothelial cell
Intestine,Myofibroblast
Intestine,Erythroid cell
Intestine,Lymphatic endothelial cell
Intestine,Erythrocyte
Intestine,Dendritic cell
Intestine,T cell
Intestine,Antigen presenting cell
Rectum,Enterocyte
Rectum,B cell
Rectum,Inflamed epithelial cell
Rectum,T cell
Rectum,Plasma cell
Rectum,Enteric glial cell
Rectum,Unclassified
Rectum,Stromal cell
Rectum,Macrophage
Rectum,Mast cell
Intestine,Mesothelial cell
Intestine,Neutrophil
Intestine,B cell
Intestine,Macrophage/Neutrophil
Intestine,Mast cell
Intestine,Macrophage/Granulocyte
Intestine,Granulocyte
Colon,Adipocyte
Colon,Schwann cell
Colon,Epithelial cell
Intestine,Schwann cell
Intestine,Paneth cell
Intestine,Unclassified
Intestine,Enteroendocrine cell
Duodenum,Goblet cell
Duodenum,Enterocyte
Duodenum,Enterocyte progenitor
Duodenum,B cell
Duodenum,Macrophage
Duodenum,T cell
Duodenum,Endothelial cell
Duodenum,Fibroblast
Ileum,B cell
Ileum,Paneth cell
Ileum,Macrophage
Ileum,Mast cell
Ileum,T cell
Ileum,Endothelial cell
Ileum,Enterocyte progenitor
Ileum,Goblet cell
Ileum,Fibroblast
Ileum,Dendritic cell
Ileum,Neuron
Ileum,Smooth muscle cell
Ileum,Enterocyte
Jejunum,Enterocyte
Jejunum,Macrophage
Jejunum,Fibroblast
Jejunum,Smooth muscle cell
Jejunum,B cell
Jejunum,T cell
Jejunum,Mast cell
Jejunum,Goblet cell
Jejunum,Paneth cell
Jejunum,Endothelial cell
Bladder,Smooth muscle cell
Bladder,Urothelial cell
Bladder,Stromal cell
Bladder,Endothelial cell
Bladder,Macrophage
Bladder,Mast cell
Bladder,Perineural epithelial cell
Bladder,B cell
Ureter,Unclassified
Ureter,Umbrella cell
Ureter,Monocyte
Ureter,B cell
Ureter,Stromal cell
Ureter,Superficial cell
Kidney,Loop of henle
Kidney,Intercalated cell
Kidney,Proximal convoluted tubule
Kidney,Macrophage
Kidney,Endothelial cell
Kidney,Principle cell
Kidney,Distal convoluted tubule
Kidney,Epithelial cell
Kidney,Smooth muscle cell
Kidney,T cell
Kidney,B cell
Kidney,Mast cell
Kidney,Intercalated cell/Princple cell
Kidney,Myeloid cell
Kidney,Neutrophil
Kidney,Dendritic cell
Kidney,Mesenchymal cell
Kidney,Ureteric bud cell
Kidney,Fibroblast
Kidney,Proximal convoluted tubule progenitor
Kidney,Collecting duct
Kidney,Ureteric epithelial cell
Kidney,Podocyte
Kidney,Loop of henle progenitor
Kidney,Neuron
Kidney,Erythrocyte
Kidney,Proliferating cell
Kidney,Unclassified
Kidney,Neuroglial cell
Kidney,Erythroid progenitor cell
Kidney,Mesangial cell
Kidney,Erythroid cell
Stomach,Pit cell
Stomach,Chief cell
Stomach,B cell
Stomach,Parietal cell
