organ,cell_type
Adipose,Adipocyte
Adipose,Fibroblast
Adipose,Macrophage
Adipose,Unclassified
Adrenal gland,Endothelial cell
Adrenal gland,Macrophage
Adrenal gland,Neuron
Adrenal gland,Neutrophilic granulocyte
Adrenal gland,Plasma B cell
Adrenal gland,Smooth muscle cell
Adrenal gland,Stromal cell
Adrenal gland,Zona fasciculata cell
Bladder,B cell
Bladder,Endothelial cell
Bladder,Macrophage
Bladder,Mast cell
Bladder,Perineural epithelial cell
Bladder,Smooth muscle cell
Bladder,Stromal cell
Bladder,Urothelial cell
Blood,Centrocyte B cell
Blood,Common myeloid progenitor(CMP)
Blood,Conventional dendritic cell
Blood,Eosinophil granulocyte
Blood,Erythrocyte
Blood,Hemopoietic stem cell
Blood,Macrophage
Blood,Megakaryocyte
Blood,Monocyte
Blood,Neutrophilic granulocyte
Blood,NK cell
Blood,Plasma B cell
Blood,Plasmacytoid dendritic cell
Blood,T cell
Blood,Unclassified
Bone marrow,Conventional dendritic cell
Bone marrow,Erythrocyte
Bone marrow,Hemopoietic stem cell
Bone marrow,Macrophage
Bone marrow,Monocyte
Bone marrow,Neutrophilic granulocyte
Bone marrow,Plasma B cell
Bone marrow,T cell
Brain,Astrocyte
Brain,Endothelial cell
Brain,Endothelial cell/Pericyte
Brain,Ependymal cell
Brain,Erythrocyte
Brain,Excitatory neuron
Brain,Granule cell
Brain,Inhibitory neuron
Brain,Microglia
Brain,Neural progenitor cell
Brain,Neuron
Brain,Oligodendrocyte
Brain,Oligodendrocyte precursor cell
Brain,Oligodendrocyte progenitor cell
Brain,Oligodendrocyte/Astrocyte
Brain,Progenitor cell
Brain,Proliferating cell
Brain,Purkinje cell
Brain,PV inhibitory neuron
Brain,Unclassified
Brain,Vascular cell
Brain,VIP inhibitory neuron
Bronchi,B cell
Bronchi,Basal cell
Bronchi,Brush cell/Perineural epithelial cell
Bronchi,Chondrocyte
Bronchi,Ciliated columnar cell
Bronchi,Endothelial cell
Bronchi,Fibrocyte
Bronchi,Goblet cell
Bronchi,Goblet cell/Basal cell
Bronchi,Goblet cell/Ciliated columnar cell
Bronchi,lonocyte
Bronchi,Macrophage
Bronchi,Perineural epithelial cell
Bronchi,Smooth muscle cell
Colon,Adipocyte
Colon,B cell
Colon,Endothelial cell
Colon,Enterocyte
Colon,Enterocyte progenitor
Colon,Epithelial cell
Colon,Fibroblast
Colon,Goblet cell
Colon,Macrophage
Colon,Mast cell
Colon,Plasma B cell
Colon,Schwann cell
Colon,Smooth muscle cell
Colon,Stromal cell
Colon,T cell
Colon,Unclassified
Duodenum,B cell
Duodenum,Endothelial cell
Duodenum,Enterocyte
Duodenum,Enterocyte progenitor
Duodenum,Fibroblast
Duodenum,Goblet cell
Duodenum,Macrophage
Duodenum,T cell
Eye,Amacrine cell
Eye,Astrocyte
Eye,B cell
Eye,Bipolar cell
Eye,Cone cell
Eye,Endothelial cell
Eye,Erythrocyte
Eye,Fibroblast
Eye,Ganglion cell
Eye,Horizontal cell
Eye,Melanocyte
Eye,Microglia
Eye,Muller cell
Eye,Pericyte/Smooth muscle cell
Eye,Pigment epithelial cell
Eye,Retinal ganglion cell
Eye,Rod cell
Eye,Schwann cell
Eye,T cell/NK cell
Eye,Unclassified
Eye,Vascular epithelial cell
Gallbladder,B cell
Gallbladder,Dendritic cell
Gallbladder,Endothelial cell
Gallbladder,Epithelial cell
Gallbladder,Fibroblast
Gallbladder,Lymphocyte
Gallbladder,Macrophage
Gallbladder,Mast cell
Gallbladder,Neutrophilic granulocyte
Gallbladder,Smooth muscle cell
Gallbladder,Stromal cell
Gallbladder,T cell
Heart,Adipocyte
Heart,Cardiomyocyte cell
Heart,Dendritic cell
Heart,Endocardial cell
Heart,Endothelial cell
Heart,Erythrocyte
Heart,Fibrocyte
Heart,Lymphocyte
Heart,Macrophage
Heart,Neuron
Heart,Neutrophilic granulocyte
Heart,Pericyte
Heart,Smooth muscle cell
Heart,T cell
Heart,Unclassified
Heart,Vascular endothelial cell
Ileum,B cell
