,0
0,2162752
1,2162776
2,2162836
3,2162843
4,2162880
5,2162883
6,2162887
7,2162893
8,2162899
9,2162921
10,2162930
11,2162943
12,2162947
13,2162950
14,2162953
15,2162955
16,2162959
17,2162960
18,2162966
19,2162967
20,2162975
21,2163235
22,2163257
23,2163320
24,2163350
25,2163357
26,2163370
27,2163427
28,2163435
29,2164110
30,2164117
31,2164129
32,2164131
33,2164140
34,2164145
35,2164149
36,2164678
37,2164685
38,2164686
39,2164698
40,2164704
41,2164717
42,2164725
43,2164732
44,2164735
45,2164974
46,2165092
47,2165102
48,2165152
49,2165250
50,2165266
51,2165283
52,2165401
53,2165413
54,2165512
55,2165524
56,2165561
57,2165563
58,2165587
59,2165599
60,2165638
61,2165673
62,2165703
63,2165704
64,2165707
65,2165709
66,2165723
67,2165734
68,2165743
69,2165749
70,2165753
71,2165765
72,2165767
73,2165769
74,2165825
75,2165838
76,2165933
77,2166369
78,2166379
79,2166386
80,2166404
81,2166431
82,2166708
83,2166879
84,2167218
85,2167383
86,2167440
87,2167506
88,2167525
89,2167921
90,2167929
91,2168038
92,2168070
93,2168208
94,2168223
95,2170620
96,2179397
97,2181757
98,2182181
99,2182452
100,2182456
101,2182480
102,2183950
103,2361662
